exact_date,stop_name,arrival_time,departure_time,trip_headsign,trip_id
2026-05-01,Mazantigade v Kolding Busterminal,11:33:00,11:33:00,Knud Hansens Vej (Kolding),158214778
2026-05-01,Mazantigade v Kolding Busterminal,11:38:00,11:38:00,Ankerhusvej v Dalbygårdsvej (Kolding),158212773
2026-05-01,Kolding Busterminal,11:38:00,11:38:00,Kolding Busterminal,158208789
2026-05-01,Mazantigade v Kolding Busterminal,11:39:00,11:39:00,Munkevænget v Munkevængets Skole,158212881
2026-05-01,Kolding Busterminal,11:42:00,11:42:00,Kolding Busterminal,158208197
2026-05-01,Mazantigade v Kolding Busterminal,11:41:00,11:43:00,Albuen 40 (Kolding),158210084
2026-05-01,Kolding Busterminal,11:43:00,11:43:00,Kolding Busterminal,158206965
2026-05-01,Mazantigade v Kolding Busterminal,11:45:00,11:45:00,Knud Hansens Vej (Kolding),158212535
2026-05-01,Mazantigade v Kolding Busterminal,11:43:00,11:45:00,Knud Hansens Vej (Kolding),158214778
2026-05-01,Kolding Busterminal,11:45:00,11:45:00,Vejle Trafikcenter,158206879
2026-05-01,Mazantigade v Kolding Busterminal,11:46:00,11:46:00,Nørregyde v Julivænget (Kolding),158212398
2026-05-01,Mazantigade v Kolding Busterminal,11:46:00,11:48:00,Højhusene (Kolding),158209963
2026-05-01,Kolding Busterminal,11:47:00,11:49:00,Vejle,158216047
2026-05-01,Kolding Busterminal,11:53:00,11:55:00,Vejle Trafikcenter,158206879
2026-05-01,Mazantigade v Kolding Busterminal,11:56:00,11:58:00,Albuen 40 (Kolding),158210081
2026-05-01,Mazantigade v Kolding Busterminal,11:59:00,11:59:00,Mazantigade v Kolding Busterminal,158214674
2026-05-01,Kolding Busterminal,11:59:00,11:59:00,Kolding,158210401
2026-05-01,Mazantigade v Kolding Busterminal,12:00:00,12:00:00,Knud Hansens Vej (Kolding),158212515
2026-05-01,Mazantigade v Kolding Busterminal,12:00:00,12:00:00,Drejensvej v Agerøvej (Kolding),158213729
2026-05-01,Mazantigade v Kolding Busterminal,12:01:00,12:01:00,Nørregyde v Julivænget (Kolding),158212407
2026-05-01,Mazantigade v Kolding Busterminal,12:02:00,12:02:00,"Vonsild, Lykkeshave v Christiansmindeallé",158213796
2026-05-01,Kolding Busterminal,12:02:00,12:02:00,Kolding Busterminal,158215158
2026-05-01,Mazantigade v Kolding Busterminal,12:01:00,12:03:00,Højhusene (Kolding),158209908
2026-05-01,Mazantigade v Kolding Busterminal,12:03:00,12:03:00,Knud Hansens Vej (Kolding),158214801
2026-05-01,Kolding Busterminal,12:05:00,12:05:00,Haderslev Busstation,158208176
2026-05-01,Mazantigade v Kolding Busterminal,12:08:00,12:08:00,Ankerhusvej v Dalbygårdsvej (Kolding),158212779
2026-05-01,Mazantigade v Kolding Busterminal,12:09:00,12:09:00,Munkevænget v Munkevængets Skole,158212875
2026-05-01,Kolding Busterminal,12:11:00,12:11:00,Kolding Busterminal,158206793
2026-05-01,Mazantigade v Kolding Busterminal,12:11:00,12:13:00,Albuen 40 (Kolding),158210062
2026-05-01,Mazantigade v Kolding Busterminal,12:15:00,12:15:00,Knud Hansens Vej (Kolding),158212537
2026-05-01,Mazantigade v Kolding Busterminal,12:13:00,12:15:00,Knud Hansens Vej (Kolding),158214801
2026-05-01,Mazantigade v Kolding Busterminal,12:16:00,12:16:00,Nørregyde v Julivænget (Kolding),158212366
2026-05-01,Mazantigade v Kolding Busterminal,12:16:00,12:18:00,Højhusene (Kolding),158209915
2026-05-01,Kolding Busterminal,12:20:00,12:20:00,Bramdrupdam,158215216
2026-05-01,Kolding Busterminal,12:22:00,12:22:00,Kolding Busterminal,158208893
2026-05-01,Kolding Busterminal,12:25:00,12:25:00,Jels Busstation,158208759
2026-05-01,Mazantigade v Kolding Busterminal,12:26:00,12:28:00,Albuen 40 (Kolding),158210108
2026-05-01,Mazantigade v Kolding Busterminal,12:29:00,12:29:00,Mazantigade v Kolding Busterminal,158214648
2026-05-01,Mazantigade v Kolding Busterminal,12:30:00,12:30:00,Knud Hansens Vej (Kolding),158212532
2026-05-01,Kolding Busterminal,12:30:00,12:30:00,Nordager v Vejlevej (Kolding),158206801
2026-05-01,Mazantigade v Kolding Busterminal,12:30:00,12:30:00,Drejensvej v Agerøvej (Kolding),158213744
2026-05-01,Mazantigade v Kolding Busterminal,12:31:00,12:31:00,Nørregyde v Julivænget (Kolding),158212370
2026-05-01,Mazantigade v Kolding Busterminal,12:32:00,12:32:00,"Vonsild, Lykkeshave v Christiansmindeallé",158213795
2026-05-01,Mazantigade v Kolding Busterminal,12:31:00,12:33:00,Højhusene (Kolding),158209906
2026-05-01,Mazantigade v Kolding Busterminal,12:33:00,12:33:00,Knud Hansens Vej (Kolding),158214819
2026-05-01,Mazantigade v Kolding Busterminal,12:38:00,12:38:00,Ankerhusvej v Dalbygårdsvej (Kolding),158212784
2026-05-01,Mazantigade v Kolding Busterminal,12:39:00,12:39:00,Munkevænget v Munkevængets Skole,158212878
2026-05-01,Kolding Busterminal,12:41:00,12:41:00,Vamdrup St. (bus),158211178
2026-05-01,Kolding Busterminal,12:42:00,12:42:00,Kolding Busterminal,158208194
2026-05-01,Mazantigade v Kolding Busterminal,12:41:00,12:43:00,Albuen 40 (Kolding),158210063
2026-05-01,Kolding Busterminal,12:43:00,12:43:00,Kolding Busterminal,158206983
2026-05-01,Mazantigade v Kolding Busterminal,12:45:00,12:45:00,Knud Hansens Vej (Kolding),158212536
2026-05-01,Mazantigade v Kolding Busterminal,12:43:00,12:45:00,Knud Hansens Vej (Kolding),158214819
2026-05-01,Kolding Busterminal,12:45:00,12:45:00,Vejle Trafikcenter,158206886
2026-05-01,Mazantigade v Kolding Busterminal,12:46:00,12:46:00,Nørregyde v Julivænget (Kolding),158212413
2026-05-01,Kolding Busterminal,12:47:00,12:47:00,Vejle,158210389
2026-05-01,Mazantigade v Kolding Busterminal,12:46:00,12:48:00,Højhusene (Kolding),158209921
2026-05-01,Kolding Busterminal,12:53:00,12:55:00,Vejle Trafikcenter,158206886
2026-05-01,Mazantigade v Kolding Busterminal,12:56:00,12:58:00,Albuen 40 (Kolding),158210085
2026-05-01,Mazantigade v Kolding Busterminal,12:59:00,12:59:00,Mazantigade v Kolding Busterminal,158214653
2026-05-01,Mazantigade v Kolding Busterminal,13:00:00,13:00:00,Knud Hansens Vej (Kolding),158212503
2026-05-01,Kolding Busterminal,13:00:00,13:00:00,Sønder Stenderup,158211293
2026-05-01,Mazantigade v Kolding Busterminal,13:01:00,13:01:00,Drejensvej v Agerøvej (Kolding),158213759
2026-05-01,Mazantigade v Kolding Busterminal,13:02:00,13:02:00,Nørregyde v Julivænget (Kolding),158212337
2026-05-01,Kolding Busterminal,13:02:00,13:02:00,Kolding Busterminal,158215136
2026-05-01,Mazantigade v Kolding Busterminal,13:01:00,13:03:00,Højhusene (Kolding),158209911
2026-05-01,Mazantigade v Kolding Busterminal,13:03:00,13:03:00,Knud Hansens Vej (Kolding),158214768
2026-05-01,Mazantigade v Kolding Busterminal,13:03:00,13:03:00,"Vonsild, Lykkeshave v Christiansmindeallé",158213815
2026-05-01,Kolding Busterminal,13:05:00,13:05:00,Kolding Busterminal,158211204
2026-05-01,Kolding Busterminal,13:05:00,13:05:00,Haderslev Busstation,158208172
2026-05-01,Mazantigade v Kolding Busterminal,13:09:00,13:09:00,Ankerhusvej v Dalbygårdsvej (Kolding),158212802
2026-05-01,Kolding Busterminal,13:08:00,13:10:00,Sønderborg,158216072
2026-05-01,Mazantigade v Kolding Busterminal,13:10:00,13:10:00,Munkevænget v Munkevængets Skole,158212887
2026-05-01,Kolding Busterminal,13:12:00,13:12:00,Kolding Busterminal,158206783
2026-05-01,Mazantigade v Kolding Busterminal,13:12:00,13:14:00,Albuen 40 (Kolding),158210052
2026-05-01,Mazantigade v Kolding Busterminal,13:15:00,13:15:00,Knud Hansens Vej (Kolding),158212477
2026-05-01,Mazantigade v Kolding Busterminal,13:13:00,13:15:00,Knud Hansens Vej (Kolding),158214768
2026-05-01,Kolding Busterminal,13:15:00,13:15:00,Kolding Busterminal,158208745
2026-05-01,Mazantigade v Kolding Busterminal,13:17:00,13:17:00,Nørregyde v Julivænget (Kolding),158212336
2026-05-01,Mazantigade v Kolding Busterminal,13:17:00,13:19:00,Højhusene (Kolding),158209973
2026-05-01,Kolding Busterminal,13:20:00,13:20:00,Bramdrupdam,158215191
2026-05-01,Kolding Busterminal,13:20:00,13:20:00,Jels Busstation,158208760
2026-05-01,Kolding Busterminal,13:20:00,13:20:00,Vejle Trafikcenter,158206885
2026-05-01,Kolding Busterminal,13:25:00,13:25:00,Lunderskov St. (bus),158211186
2026-05-01,Kolding Busterminal,13:25:00,13:25:00,Middelfart Station (Middelfart Kommune),158207025
2026-05-01,Mazantigade v Kolding Busterminal,13:29:00,13:29:00,Mazantigade v Kolding Busterminal,158212489
2026-05-01,Mazantigade v Kolding Busterminal,13:27:00,13:29:00,Albuen 40 (Kolding),158210034
2026-05-01,Mazantigade v Kolding Busterminal,13:29:00,13:29:00,Mazantigade v Kolding Busterminal,158214687
2026-05-01,Mazantigade v Kolding Busterminal,13:30:00,13:30:00,Knud Hansens Vej (Kolding),158212478
2026-05-01,Kolding Busterminal,13:30:00,13:30:00,Nordager v Vejlevej (Kolding),158206814
2026-05-01,Kolding Busterminal,13:30:00,13:30:00,Sønder Stenderup,158211291
2026-05-01,Kolding Busterminal,13:28:00,13:30:00,Vejle Trafikcenter,158206885
2026-05-01,Mazantigade v Kolding Busterminal,13:31:00,13:31:00,Drejensvej v Agerøvej (Kolding),158213754
2026-05-01,Mazantigade v Kolding Busterminal,13:32:00,13:32:00,Nørregyde v Julivænget (Kolding),158212340
2026-05-01,Mazantigade v Kolding Busterminal,13:33:00,13:33:00,Knud Hansens Vej (Kolding),158214776
2026-05-01,Mazantigade v Kolding Busterminal,13:33:00,13:33:00,"Vonsild, Lykkeshave v Christiansmindeallé",158213816
