event_category,event_start,event_end,event_datetime,Time,Event URL
Action/Drama,2026-05-03,2026-05-03,2026-05-03 12:00:00,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19768455
Action/Drama,2026-05-03,2026-05-03,2026-05-03 12:00:00,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19890825
Action/Drama,2026-05-03,2026-05-03,2026-05-03 19:30:00,19.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19890485
Skuespil,2026-05-03,2026-05-03,2026-05-03 19:30:00,19.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19888921
Thriller/Gyser,2026-05-03,2026-05-03,2026-05-03 21:10:00,21.10,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19907082
Andet,2026-05-04,2026-05-04,2026-05-04 09:00:00,09:00,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19859498
Omvisning,2026-05-04,2026-05-04,2026-05-04 15:00:00,15.00,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19859696
Marked/byfest,2026-05-04,2026-05-04,2026-05-04 19:00:00,19:00,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19889960
Andet,2026-05-04,2026-05-04,2026-05-04 20:37:00,20:37,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19904449
Ketchersport,2026-05-04,2026-05-04,2026-05-04 12:00:00,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19828606
Andet motionstilbud,2026-05-04,2026-05-04,2026-05-04 12:00:00,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19828935
Fitness/styrketræning,2026-05-04,2026-05-04,2026-05-04 10:15:00,10.15,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19828801
Ketchersport,2026-05-04,2026-05-04,2026-05-04 12:00:00,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19907805
Andet motionstilbud,2026-05-04,2026-05-04,2026-05-04 09:30:00,09.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19828471
Andet motionstilbud,2026-05-04,2026-05-04,2026-05-04 09:30:00,09.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19828997
Vandretur/stavgang,2026-05-04,2026-05-04,2026-05-04 11:30:00,11.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19828418
Fitness/styrketræning,2026-05-04,2026-05-04,2026-05-04 10:45:00,10.45,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19828866
Tegnefilm/Animation,2026-05-04,2026-05-04,2026-05-04 11:30:00,11.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19906122
Tegnefilm/Animation,2026-05-04,2026-05-04,2026-05-04 11:30:00,11.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19906950
Komedie/Romantik,2026-05-04,2026-05-04,2026-05-04 12:00:00,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19907034
Andet motionstilbud,2026-05-04,2026-05-04,2026-05-04 12:00:00,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19828621
Andet motionstilbud,2026-05-04,2026-05-04,2026-05-04 12:00:00,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19828351
Action/Drama,2026-05-04,2026-05-04,2026-05-04 15:20:00,15.20,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19887972
Action/Drama,2026-05-04,2026-05-04,2026-05-04 12:15:00,12.15,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19888190
Komedie/Romantik,2026-05-04,2026-05-04,2026-05-04 12:30:00,12.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19870862
Foredrag,2026-05-04,2026-05-04,2026-05-04 12:00:00,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19767127
Foredrag,2026-05-04,2026-05-04,2026-05-04 14:00:00,14:00,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19805923
Action/Drama,2026-05-04,2026-05-04,2026-05-04 14:15:00,14.15,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19906957
Action/Drama,2026-05-04,2026-05-04,2026-05-04 14:30:00,14.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19906294
Gymnastik/aerobic,2026-05-04,2026-05-04,2026-05-04 15:20:00,15.20,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19828951
Action/Drama,2026-05-04,2026-05-04,2026-05-04 12:00:00,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19890553
"Musik
          , Børn",2026-05-04,2026-05-04,2026-05-04 16:45:00,16.45,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19897123
Action/Drama,2026-05-04,2026-05-04,2026-05-04 16:30:00,16.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19890587
Science Fiction,2026-05-04,2026-05-04,2026-05-04 12:00:00,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19906506
"Danseundervisning, Børn",2026-05-04,2026-05-04,2026-05-04 17:55:00,17.55,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19828679
"Andet boldspil, Børn",2026-05-04,2026-05-04,2026-05-04 18:30:00,18.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19828564
/jogging,2026-05-04,2026-05-04,2026-05-04 18:30:00,18.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19920792
Møder,2026-05-04,2026-05-04,2026-05-04 12:00:00,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19324568
"Løbetræning/jogging, Børn",2026-05-04,2026-05-04,2026-05-04 17:15:00,17.15,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19828387
"Danseundervisning, Børn",2026-05-04,2026-05-04,2026-05-04 17:30:00,17.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19828396
"Danseundervisning, Børn",2026-05-04,2026-05-04,2026-05-04 18:05:00,18.05,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19828584
Andet motionstilbud,2026-05-04,2026-05-04,2026-05-04 18:30:00,18.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19828644
Gudstjeneste,2026-05-04,2026-05-04,2026-05-04 18:30:00,18.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19872569
Andre Film,2026-05-04,2026-05-04,2026-05-04 12:00:00,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19890426
Gymnastik/aerobic,2026-05-04,2026-05-04,2026-05-04 12:00:00,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19828992
Lyrik/oplæsning,2026-05-04,2026-05-04,2026-05-04 20:45:00,20.45,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19632947
Andet motionstilbud,2026-05-04,2026-05-04,2026-05-04 12:00:00,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19828428
Musik,2026-05-04,2026-05-04,2026-05-04 19:00:00,19:00,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19896577
"Danseundervisning, Børn",2026-05-04,2026-05-04,2026-05-04 19:10:00,19.10,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19828727
Gymnastik/aerobic,2026-05-04,2026-05-04,2026-05-04 19:15:00,19.15,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19828912
Andet boldspil,2026-05-04,2026-05-04,2026-05-04 19:15:00,19.15,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19828654
Skuespil,2026-05-04,2026-05-04,2026-05-04 19:30:00,19.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19888917
"Danseundervisning, Børn",2026-05-04,2026-05-04,2026-05-04 20:10:00,20.10,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19828529
Thriller/Gyser,2026-05-04,2026-05-04,2026-05-04 21:10:00,21.10,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19906378
Thriller/Gyser,2026-05-04,2026-05-04,2026-05-04 21:10:00,21.10,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19906526
Workshop,2026-05-05,2026-05-05,2026-05-05 17:30:00,17:30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19896405
Andet motionstilbud,2026-05-05,2026-05-05,2026-05-05 12:00:00,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19830187
Andet motionstilbud,2026-05-05,2026-05-05,2026-05-05 09:30:00,09.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19829846
Gudstjeneste,2026-05-05,2026-05-05,2026-05-05 12:00:00,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19640556
Andre Film,2026-05-05,2026-05-05,2026-05-05 12:00:00,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19792509
Fitness/styrketræning,2026-05-05,2026-05-05,2026-05-05 12:00:00,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19829836
Andet,2026-05-05,2026-05-05,2026-05-05 10:00:00,10:00,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19889999
Gudstjeneste,2026-05-05,2026-05-05,2026-05-05 10:30:00,10.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19640597
Gymnastik/aerobic,2026-05-05,2026-05-05,2026-05-05 12:00:00,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19830228
Fitness/styrketræning,2026-05-05,2026-05-05,2026-05-05 12:00:00,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19830423
Tegnefilm/Animation,2026-05-05,2026-05-05,2026-05-05 11:30:00,11.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19907187
Tegnefilm/Animation,2026-05-05,2026-05-05,2026-05-05 11:30:00,11.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19906488
Action/Drama,2026-05-05,2026-05-05,2026-05-05 12:15:00,12.15,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19888008
Komedie/Romantik,2026-05-05,2026-05-05,2026-05-05 12:30:00,12.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19871443
Action/Drama,2026-05-05,2026-05-05,2026-05-05 12:40:00,12.40,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19888247
